ts,amf_cpu_pct,amf_ctx_sw,amf_rss_mb,ausf_aex_rate,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_eenter_rate,ausf_eexit_rate,ausf_ipc,ausf_rss_mb,nrf_aex_rate,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_eenter_rate,nrf_eexit_rate,nrf_ipc,nrf_rss_mb,pcf_aex_rate,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_eenter_rate,pcf_eexit_rate,pcf_ipc,pcf_rss_mb,scp_aex_rate,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_eenter_rate,scp_eexit_rate,scp_ipc,scp_rss_mb,smf_aex_rate,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_eenter_rate,smf_eexit_rate,smf_ipc,smf_rss_mb,udm_aex_rate,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_eenter_rate,udm_eexit_rate,udm_ipc,udm_rss_mb,upf_aex_rate,upf_cache_miss_pct,upf_cpu_pct,upf_ctx_sw,upf_eenter_rate,upf_eexit_rate,upf_ipc,upf_rss_mb
1775140260.393,0.0,0,331.1,,,0.0,0,,,,6.0,,49.61,0.77,0,,,0.384,6.0,,,0.0,0,,,,6.0,,39.57,1.16,0,,,0.321,6.0,,,0.0,0,,,,6.1,,,0.0,0,,,,6.0,,,0.0,0,,,,28.8
1775140261.977,5.69,0,343.4,2092,12.43,32.85,0,2717,2717,0.684,6.0,0,49.61,0.0,0,0,0,0.384,6.0,1583,18.41,11.37,0,2172,2172,0.513,6.0,10726,11.91,70.11,0,14878,14876,0.654,6.0,2131,16.46,28.42,0,2877,2877,0.533,6.1,1934,19.01,36.64,0,2684,2684,0.601,6.0,262,14.98,2.53,0,388,388,0.394,28.8
1775140263.551,10.04,0,343.9,2936,9.94,41.91,0,4129,4129,0.406,6.0,14,42.48,0.64,0,23,23,0.372,6.0,1388,6.48,11.43,0,2046,2046,0.607,6.0,25815,7.3,99.7,0,38040,38041,0.414,6.0,402,9.2,12.07,0,568,568,0.334,6.1,12874,5.11,66.04,0,17621,17621,0.417,6.0,91,14.98,1.27,0,141,141,0.394,28.8
1775140265.146,20.97,0,346.2,2528,11.03,35.74,0,3656,3656,0.409,6.0,0,46.1,0.0,0,0,0,0.376,6.0,2959,9.23,48.91,0,4353,4353,0.46,6.0,26617,8.79,99.7,0,37978,37978,0.426,6.0,28714,10.28,83.4,0,35792,35792,0.339,6.1,8425,8.27,62.08,0,11557,11557,0.463,6.0,423,16.69,5.64,0,634,634,0.386,28.8
1775140266.709,10.84,0,346.1,0,15.44,6.4,0,0,0,0.42,6.0,13,46.1,0.0,0,23,23,0.376,6.0,5144,8.71,35.18,0,7431,7431,0.472,6.0,24435,7.37,100.43,0,35685,35684,0.408,6.0,27418,9.87,72.28,0,35530,35530,0.324,6.1,3691,5.73,60.77,0,5378,5378,0.434,6.0,862,14.99,8.32,0,1270,1270,0.434,28.8
1775140268.28,3.16,0,345.9,0,15.44,0.0,0,0,0,0.42,6.0,13,53.84,0.0,0,23,23,0.348,6.0,5144,10.83,20.37,0,7431,7431,0.394,6.0,24435,14.16,44.56,0,35685,35684,0.349,6.0,27418,12.74,49.66,0,35530,35530,0.329,6.1,3691,5.65,22.92,0,5378,5378,0.478,6.0,862,13.09,8.28,0,1270,1270,0.421,28.8
1775140269.878,0.0,0,345.9,0,15.44,0.0,0,0,0,0.42,6.0,0,53.84,0.0,0,0,0,0.348,6.0,0,10.83,0.0,0,0,0,0.394,6.0,0,14.16,0.63,0,0,0,0.349,6.0,0,12.74,0.0,0,0,0,0.329,6.1,0,5.65,0.0,0,0,0,0.478,6.0,27,56.7,0.0,0,53,53,0.407,28.8
1775140271.442,0.0,0,345.9,0,15.44,0.0,0,0,0,0.42,6.0,0,51.0,0.0,0,0,0,0.388,6.0,0,10.83,0.0,0,0,0,0.394,6.0,0,39.03,0.64,0,0,0,0.71,6.0,0,12.74,0.0,0,0,0,0.329,6.1,0,5.65,0.0,0,0,0,0.478,6.0,23,63.32,1.28,0,49,49,0.444,28.8
1775140273.028,0.0,0,345.9,0,63.58,0.0,0,0,0,0.298,6.0,13,45.98,0.0,0,23,23,0.343,6.0,598,10.83,0.0,0,833,833,0.394,6.0,2216,40.24,1.26,0,3407,3408,0.395,6.0,1668,53.37,0.0,0,2258,2258,0.276,6.1,113,5.65,0.0,0,164,164,0.478,6.0,438,42.73,0.63,0,579,579,0.395,28.8
1775140274.605,7.66,0,345.9,8097,10.08,37.42,0,10829,10829,0.425,6.0,0,46.33,0.63,0,0,0,0.327,6.0,1219,13.04,20.93,0,1844,1845,0.401,6.0,26432,6.81,83.09,0,38063,38063,0.388,6.0,2039,8.96,46.94,0,2890,2890,0.331,6.1,13598,7.42,47.57,0,18277,18277,0.391,6.0,209,10.54,6.34,0,345,345,0.417,28.8
1775140276.17,11.29,0,345.9,8097,6.87,23.64,0,10829,10829,0.378,6.0,0,46.33,0.0,0,0,0,0.327,6.0,1219,19.93,40.88,0,1844,1845,0.471,6.0,26432,7.33,99.66,0,38063,38063,0.4,6.0,2039,19.13,46.63,0,2890,2890,0.389,6.1,13598,5.61,51.11,0,18277,18277,0.405,6.0,209,32.22,9.58,0,345,345,0.395,28.8
1775140277.762,8.91,0,346.0,2980,11.75,40.83,0,4184,4184,0.427,6.0,14,50.21,0.0,0,23,23,0.31,6.0,3814,9.93,33.92,0,5103,5103,0.398,6.0,27571,8.14,99.88,0,38612,38612,0.39,6.0,26189,10.21,84.17,0,33371,33371,0.316,6.1,9521,7.15,63.45,0,12826,12826,0.402,6.0,110,32.14,3.77,0,176,176,0.397,28.8
1775140279.351,11.26,0,346.0,0,13.1,15.73,0,0,0,0.415,6.0,0,57.61,0.63,0,0,0,0.336,6.0,5832,11.4,21.4,0,8555,8555,0.437,6.0,24462,6.65,100.06,0,36572,36572,0.431,6.0,15138,11.43,71.11,0,20036,20036,0.354,6.1,5595,6.41,66.08,0,8021,8021,0.503,6.0,458,24.02,8.81,0,695,695,0.383,28.8
1775140280.942,1.25,0,346.0,0,13.1,0.0,0,0,0,0.415,6.0,0,53.98,0.0,0,0,0,0.222,6.0,0,12.24,12.57,0,0,0,0.403,6.0,36,6.54,20.11,0,68,68,0.397,6.0,0,9.26,25.13,0,0,0,0.334,6.1,0,10.24,12.57,0,0,0,0.478,6.0,55,11.81,3.14,0,114,114,0.427,28.8
